attributes,business_id,categories,name,review_count,stars,state
"{'WiFi': ""u'no'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'False', 'RestaurantsTableService': 'False', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}",o5Mofj5KJkYAMs_fhxftpg,"Soul Food, Mexican, Asian Fusion, Korean, Food Trucks, Restaurants, Food",Seoul Taco,70,3.5,IL
"{'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'False', 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False'}",vqEtZ7CtNB9G8WMzjwJA2g,"Mexican, Restaurants, Nightlife, Bars",Wedge Tequila Bar & Grill,125,3.5,IL
"{'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'WiFi': ""u'no'""}",MpAhuv_BBhYHDElgx1pD4g,"Restaurants, Mexican",Qdoba Mexican Grill,14,2,IL
"{'WheelchairAccessible': 'True', 'Caters': 'True', 'NoiseLevel': ""u'loud'"", 'BusinessAcceptsCreditCards': 'True', 'Smoking': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'Alcohol': ""u'full_bar'"", 'CoatCheck': 'False', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'GoodForDancing': 'False', 'BusinessAcceptsBitcoin': 'False', 'OutdoorSeating': 'False', 'GoodForKids': 'False', 'Music': ""{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False'}",d_Wm9CpzIo_0T-XLfq1UcA,"Restaurants, American (Traditional), Bars, Sports Bars, Dance Clubs, Nightlife, Gastropubs",The Hub Champaign,63,3,IL
"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False'}",zV_aclADLjx2KOql9F_FTw,"Desserts, Creperies, Specialty Food, Ice Cream & Frozen Yogurt, Restaurants, Food",Crepe Cafe,4,3,IL
"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'False', 'Alcohol': ""'none'"", 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True'}",w7v0_gmsAtZRmn6dL1Fqgw,"Sushi Bars, Seafood, Poke, Restaurants, Food, Hawaiian",Pokelab from Hawaii,24,3.5,IL
"{'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'free'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""'none'"", 'BikeParking': 'True'}",0Tiq09V_kdMFPa1cL6I0AA,"Restaurants, Burgers, Food, Fast Food, Ice Cream & Frozen Yogurt",Culver's,22,3.5,IL
"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",5lw5rrhFMz-liykUn8dGSw,"Mexican, Food, Restaurants, Food Delivery Services, Food Trucks",Fernando's Food,39,5,IL
"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",aaJ-RaUdHyB4R3U4qNbRBA,"Restaurants, Pizza, Beauty & Spas, Hair Salons, Nail Salons",Lovely Nails,15,4,IL
"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1'}",2e5Q-0Pr23NFEhgpYG8cFw,"Food, Breakfast & Brunch, Hot Dogs, Desserts, Creperies, Restaurants, Burgers",Crepe De Licious,9,2,IL
"{'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'dressy'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'False', 'RestaurantsPriceRange2': '3', 'OutdoorSeating': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'True'}",uGwwPkw2AEvKkVHiSufhzQ,"Steakhouses, Seafood, Restaurants",Jim Gould,46,3.5,IL
"{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True'}",b3qhOCXM_vpPsginjyP9Hg,"Restaurants, Barbeque",Famous Dave's,3,3,IL
"{'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsAttire': ""'casual'""}",nrGop3jH9s3cq-RTiEWOGQ,"Chinese, Restaurants",China Express,11,2.5,IL
"{'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'WiFi': ""'free'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True'}",FUr2uEolARu7rv2TQYKPqg,"Restaurants, American (Traditional)",Za's Italian Cafe,48,3.5,IL
"{'NoiseLevel': ""u'average'"", 'Caters': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True'}",-5NXoZeGBdx3Bdk70tuyCw,"Restaurants, Pizza, Barbeque",Po' Boys Restaurant,64,4,IL
"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",nf8cdI8ntEBHHklZq2uuJA,"Restaurants, Cafes, Food, Breakfast & Brunch, Bakeries",FOUR,4,4,IL
"{'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'Alcohol': ""'none'""}",yRKrMWQxQaMeR18s5ajcYw,"Restaurants, Sandwiches, Fast Food",Arby's,5,2,IL
"{'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True'}",w2xwgqHM7dJlHfyu4ouhBg,"Salad, Restaurants, Italian, Pizza",Azzip Pizza,49,4.5,IL
"{'Caters': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'""}",s173l3ubdDLHeFIBO3ydrw,"Mexican, Restaurants",La Bamba,30,3,IL
"{'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}",E4t43bnsfeOY2bv_8IPmSw,"Restaurants, Pizza",Prime Time Pizza,13,2.5,IL
"{'RestaurantsDelivery': 'True', 'Corkage': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",DS3-yphtWDHAdXLtIoqdAA,"Restaurants, Sandwiches",The Pita Pit,3,3.5,IL
